article_id, sim1, sim2, sim3
0, 0.9427541494369507, 0.8122692108154297, 0.9464943408966064
1, 0.8691579699516296, 0.8766748309135437, 0.9378818273544312
2, 0.825505256652832, 0.7963485717773438, 0.9329110980033875
3, 0.6989082098007202, 0.7560197710990906, 0.8751534223556519
4, 0.8396716713905334, 0.8983438014984131, 0.914674699306488
5, 0.7197548747062683, 0.90195631980896, 0.9019325971603394
6, 0.8558961153030396, 0.9635688662528992, 0.9653675556182861
7, 0.8052929639816284, 0.8226609826087952, 0.9347158670425415
8, 0.8718472719192505, 0.9159702062606812, 0.9027315378189087
9, 0.8598870038986206, 0.7961551547050476, 0.9224843978881836
10, 0.8641800880432129, 0.9028221368789673, 0.9609595537185669
11, 0.7838892936706543, 0.833978533744812, 0.8723791837692261
12, 0.7824417352676392, 0.8013373017311096, 0.9042178392410278
13, 0.7242171764373779, 0.9253310561180115, 0.9057624936103821
14, 0.7933768033981323, 0.8447041511535645, 0.9222570061683655
15, 0.8095117807388306, 0.8682138323783875, 0.9076637029647827
16, 0.8801052570343018, 0.9112052917480469, 0.9626185894012451
17, 0.8592100143432617, 0.7565284967422485, 0.9437744617462158
18, 0.7277892231941223, 0.6769613027572632, 0.8591064214706421
19, 0.8670212626457214, 0.8067517280578613, 0.9532608985900879
20, 0.9087174534797668, 0.9472512006759644, 0.9489837884902954
21, 0.7908787727355957, 0.7841607332229614, 0.8930978775024414
22, 0.8364475965499878, 0.9252662658691406, 0.9369227886199951
23, 0.855534017086029, 0.82514488697052, 0.9238975644111633
24, 0.8188772201538086, 0.9559597969055176, 0.9255657196044922
25, 0.8212164640426636, 0.7619072794914246, 0.9269455671310425
26, 0.843804121017456, 0.8548306226730347, 0.9529669284820557
27, 0.8282329440116882, 0.785993218421936, 0.8606255054473877
28, 0.8012889623641968, 0.8344309329986572, 0.9305276870727539
29, 0.90185546875, 0.8721475601196289, 0.9178715944290161
30, 0.8783913850784302, 0.8299380540847778, 0.9588289260864258
31, 0.8389413356781006, 0.9205754995346069, 0.9004466533660889
32, 0.7801055908203125, 0.8559839725494385, 0.8576374053955078
33, 0.811333417892456, 0.9073774218559265, 0.9406723380088806
34, 0.7163423895835876, 0.8455381393432617, 0.8288980722427368
