article_id, sim0, simlev1, simlev2, simlev3, simlev4, simlev5, simlev6, simlev7, simlev8, simlev9
57, 0.9742392301559448, 0.9833978414535522, 0.9795194864273071, 0.9794828295707703, 0.9822300672531128, 0.982185423374176, 0.973986804485321, 0.9785658717155457, 0.9765856266021729, 0.9793415069580078
58, 0.9347606301307678, 0.9490092396736145, 0.9542525410652161, 0.957209050655365, 0.9439062476158142, 0.9400241374969482, 0.9540833830833435, 0.9406267404556274, 0.9235362410545349, 0.9349328875541687
59, 0.9441261291503906, 0.952900230884552, 0.9593145847320557, 0.9495541453361511, 0.9493556022644043, 0.9527066946029663, 0.9610173106193542, 0.9441986083984375, 0.9166613817214966, 0.9636732339859009
60, 0.9562220573425293, 0.9488162398338318, 0.975029706954956, 0.943860650062561, 0.9563389420509338, 0.9574117064476013, 0.9603323340415955, 0.9508137106895447, 0.9714207649230957, 0.9648820757865906
61, 0.9537405371665955, 0.9676470160484314, 0.9446595311164856, 0.9636114239692688, 0.9459352493286133, 0.9544268846511841, 0.9573121070861816, 0.9411208033561707, 0.95145583152771, 0.9472710490226746
62, 0.944567084312439, 0.970035195350647, 0.9508193731307983, 0.9789731502532959, 0.9577426910400391, 0.9689110517501831, 0.9452335834503174, 0.9654783010482788, 0.9598792195320129, 0.9696864485740662
63, 0.8728231191635132, 0.8740473985671997, 0.9216601848602295, 0.8914527297019958, 0.9165427684783936, 0.91837477684021, 0.8813138604164124, 0.9011842012405396, 0.8455468416213989, 0.8828914165496826
64, 0.8947893381118774, 0.9102913737297058, 0.9114030599594116, 0.9094375371932983, 0.9067412614822388, 0.9192569851875305, 0.9161559343338013, 0.9121717214584351, 0.9040597081184387, 0.883025586605072
65, 0.9430906772613525, 0.9650833606719971, 0.9761715531349182, 0.962420642375946, 0.9511143565177917, 0.9397643208503723, 0.9334968328475952, 0.9451465010643005, 0.9488069415092468, 0.9677786827087402
66, 0.9015440344810486, 0.9297744035720825, 0.9806514382362366, 0.9801743626594543, 0.9365059733390808, 0.9785763621330261, 0.9358465671539307, 0.9191952347755432, 0.9219775199890137, 0.9802036285400391
