article_id, sim1, sim2, sim3
0, 0.3538230884557721, 0.3472222222222222, 0.6272189349112426
1, 0.14446952595936793, 0.4832000000000001, 0.6045801526717557
2, 0.282183316168898, 0.3236587510993843, 0.56013456686291
3, 0.22401614530776992, 0.2838709677419355, 0.5312741312741313
4, 0.27309236947791166, 0.35582822085889565, 0.5957446808510638
5, 0.3734439834024897, 0.6760772659732541, 0.5766481334392375
6, 0.4109149277688603, 0.7272727272727273, 0.6456494325346784
7, 0.23028785982478098, 0.5454545454545454, 0.6489626556016598
8, 0.3867403314917127, 0.4881101376720901, 0.48441247002398086
9, 0.3225806451612903, 0.3642611683848797, 0.6563467492260062
10, 0.43443708609271525, 0.4874551971326165, 0.6077812828601472
11, 0.21907216494845363, 0.23050058207217694, 0.5846438482886217
12, 0.2556818181818182, 0.22015915119363394, 0.6227795193312434
13, 0.20681265206812652, 0.3982589771490751, 0.5254745254745254
14, 0.42248722316865417, 0.5107692307692308, 0.6185286103542235
15, 0.21350078492935637, 0.4514563106796116, 0.6030701754385964
16, 0.2898032200357782, 0.5064748201438849, 0.6762402088772846
17, 0.4432855280312907, 0.3205128205128205, 0.7098765432098766
18, 0.3548387096774194, 0.41890166028097064, 0.5980861244019139
19, 0.3157894736842105, 0.35527950310559003, 0.5995975855130785
20, 0.36914600550964183, 0.5792474344355758, 0.6483050847457628
21, 0.1348314606741573, 0.25487465181058494, 0.4858437146092865
22, 0.245119305856833, 0.5739592559787422, 0.569078947368421
23, 0.3981373690337602, 0.4345047923322684, 0.6041874376869393
24, 0.22322435174746336, 0.6793953858392999, 0.6211656441717791
25, 0.22061855670103095, 0.3685636856368564, 0.6304832713754647
26, 0.3641975308641975, 0.42857142857142855, 0.636290967226219
27, 0.34508816120906805, 0.5071664829106945, 0.5465346534653466
28, 0.11494252873563217, 0.17035217035217037, 0.5172413793103449
29, 0.270042194092827, 0.3806818181818182, 0.5842696629213484
30, 0.27504911591355596, 0.39785768936495797, 0.6228528752800597
31, 0.2738095238095238, 0.4965675057208238, 0.529616724738676
32, 0.35212888377445345, 0.4433094994892748, 0.5522935779816514
