article_id, sim1, sim2, sim3
0, 0.8953890204429626, 0.8902576565742493, 0.9216564297676086
1, 0.8544427752494812, 0.8781896829605103, 0.9093825817108154
2, 0.8730344176292419, 0.8769340515136719, 0.903427243232727
3, 0.8472104072570801, 0.8567566275596619, 0.8754128813743591
4, 0.8658915758132935, 0.8732410669326782, 0.900745153427124
5, 0.8680393099784851, 0.9212983846664429, 0.8928595185279846
6, 0.8897861242294312, 0.9359598159790039, 0.9089640378952026
7, 0.8568642735481262, 0.8736781477928162, 0.9130347967147827
8, 0.8915462493896484, 0.9072776436805725, 0.8962258100509644
9, 0.8577966094017029, 0.8544626235961914, 0.8991217613220215
10, 0.8851204514503479, 0.8921254277229309, 0.910236656665802
11, 0.8666408061981201, 0.8705897927284241, 0.9069834351539612
12, 0.8748353123664856, 0.8532531261444092, 0.9001704454421997
13, 0.8496723771095276, 0.8796667456626892, 0.8887673616409302
14, 0.8931435346603394, 0.9081666469573975, 0.9249826669692993
15, 0.8818524479866028, 0.8854584693908691, 0.89860600233078
16, 0.8618682622909546, 0.8706410527229309, 0.9034891128540039
17, 0.8957594633102417, 0.8676081299781799, 0.9184026122093201
18, 0.8733443021774292, 0.8757071495056152, 0.894730269908905
19, 0.8857366442680359, 0.8748001456260681, 0.9090915322303772
20, 0.8887134790420532, 0.8928297162055969, 0.9082291126251221
21, 0.8309470415115356, 0.8480146527290344, 0.8761671781539917
22, 0.858407735824585, 0.8911672830581665, 0.9042043685913086
23, 0.874756932258606, 0.8751828670501709, 0.8933159112930298
24, 0.8666205406188965, 0.9132663607597351, 0.9001259207725525
25, 0.8563944101333618, 0.8700155019760132, 0.898331880569458
26, 0.8774923086166382, 0.8729696869850159, 0.911117672920227
27, 0.8872236013412476, 0.883455216884613, 0.8896637558937073
28, 0.8600532412528992, 0.8605554699897766, 0.8930484652519226
29, 0.8769950270652771, 0.8669975399971008, 0.9023436307907104
30, 0.8799078464508057, 0.9014983773231506, 0.9214209914207458
31, 0.8764261603355408, 0.9036341905593872, 0.8978050947189331
32, 0.8781062960624695, 0.881514310836792, 0.8901600241661072
33, 0.8612595200538635, 0.8877910375595093, 0.8974323868751526
34, 0.8565762639045715, 0.8784017562866211, 0.8784634470939636
35, 0.9178701639175415, 0.8981854915618896, 0.9393429160118103
36, 0.8864144682884216, 0.8821539878845215, 0.9087342023849487
37, 0.881090521812439, 0.8861048817634583, 0.9021748900413513
38, 0.8602910041809082, 0.9523943066596985, 0.8915839791297913
39, 0.8787647485733032, 0.8627125024795532, 0.8855173587799072
40, 0.8434430360794067, 0.8746156096458435, 0.8816286325454712
41, 0.8873382210731506, 0.8773630857467651, 0.9173071980476379
42, 0.8694149255752563, 0.8816420435905457, 0.8937667012214661
43, 0.8859074115753174, 0.8774935603141785, 0.9280986189842224
44, 0.8826438188552856, 0.8882181644439697, 0.8986198306083679
45, 0.8471428155899048, 0.8846667408943176, 0.8892707824707031
46, 0.8746866583824158, 0.9039872288703918, 0.8826776742935181
47, 0.8839508891105652, 0.8629260659217834, 0.9108352065086365
48, 0.8915079236030579, 0.9489334225654602, 0.9201350212097168
49, 0.858552098274231, 0.8713277578353882, 0.8690052628517151
50, 0.902670681476593, 0.8994210362434387, 0.9175030589103699
51, 0.8811981678009033, 0.8756427764892578, 0.8897874355316162
52, 0.842297375202179, 0.8741937875747681, 0.8915176391601562
53, 0.8695151805877686, 0.8945217728614807, 0.9007564187049866
54, 0.8850469589233398, 0.8871503472328186, 0.8859787583351135
55, 0.8530247211456299, 0.8844426870346069, 0.8926568031311035
56, 0.8531318306922913, 0.8780822157859802, 0.902947723865509
57, 0.9203298091888428, 0.8940972685813904, 0.9475660920143127
58, 0.8699581623077393, 0.8598440885543823, 0.903336226940155
59, 0.8630272746086121, 0.8487186431884766, 0.8913561105728149
60, 0.8797972202301025, 0.8810514807701111, 0.9064051508903503
61, 0.8640151619911194, 0.86459881067276, 0.8795570731163025
62, 0.8841962814331055, 0.897343099117279, 0.9068130850791931
63, 0.8835975527763367, 0.8813657164573669, 0.9163599014282227
64, 0.8765287399291992, 0.87868732213974, 0.8952950835227966
65, 0.8533495664596558, 0.8613439798355103, 0.8811134099960327
66, 0.862392008304596, 0.8913759589195251, 0.9031004905700684
67, 0.8837442994117737, 0.8549605011940002, 0.9058213829994202
68, 0.882860541343689, 0.8807267546653748, 0.9073120951652527
69, 0.9281677603721619, 0.9249010682106018, 0.9587165117263794
70, 0.9008663296699524, 0.911228597164154, 0.9165292382240295
71, 0.9170053005218506, 0.898809552192688, 0.9299072027206421
72, 0.886745035648346, 0.888665497303009, 0.9019657969474792
73, 0.8956853151321411, 0.904837965965271, 0.9056347012519836
74, 0.8997101187705994, 0.9108314514160156, 0.9205166697502136
75, 0.8705549836158752, 0.8731573224067688, 0.9013804197311401
76, 0.8862729668617249, 0.9106372594833374, 0.9218845963478088
77, 0.965114951133728, 0.9579276442527771, 0.928351640701294
78, 0.852068305015564, 0.8600389957427979, 0.904225766658783
79, 0.8842901587486267, 0.8764284253120422, 0.9111807942390442
80, 0.9044101238250732, 0.9275762438774109, 0.9292804002761841
81, 0.8610167503356934, 0.8736020922660828, 0.8907839059829712
82, 0.8693453669548035, 0.8957479596138, 0.8943291902542114
83, 0.85638028383255, 0.8500609993934631, 0.9046653509140015
84, 0.8374322056770325, 0.8662469387054443, 0.8846895098686218
85, 0.8896635174751282, 0.9091174006462097, 0.9252300262451172
86, 0.908963680267334, 0.9172510504722595, 0.929688036441803
87, 0.8978497982025146, 0.9055460691452026, 0.9265682697296143
88, 0.8826451301574707, 0.9057108759880066, 0.8974425196647644
89, 0.8816512823104858, 0.8817122578620911, 0.8812474012374878
