article_id, sim0, simlev1, simlev2, simlev3, simlev4, simlev5, simlev6, simlev7, simlev8, simlev9
35, 0.9526335000991821, 0.9862493276596069, 0.9676609039306641, 0.9827038645744324, 0.9890750646591187, 0.988806426525116, 0.9764975309371948, 0.9783289432525635, 0.9781473278999329, 0.9811313152313232
36, 0.9715719223022461, 0.9820642471313477, 0.9742481708526611, 0.9618470668792725, 0.9704445600509644, 0.9724301099777222, 0.9735831618309021, 0.9721152186393738, 0.970706582069397, 0.9735689163208008
37, 0.9240280389785767, 0.9537899494171143, 0.9310004711151123, 0.9415494203567505, 0.8958969116210938, 0.9259957671165466, 0.8928914070129395, 0.8590155243873596, 0.8929887413978577, 0.9264200925827026
38, 0.9793593883514404, 0.9830934405326843, 0.9612659215927124, 0.9905480742454529, 0.964111328125, 0.9715769290924072, 0.9633520841598511, 0.9710001349449158, 0.9761606454849243, 0.9664831161499023
39, 0.9749493598937988, 0.9804011583328247, 0.9910210371017456, 0.9686342477798462, 0.9806337952613831, 0.9778012633323669, 0.9809966087341309, 0.980193018913269, 0.9750490188598633, 0.9816602468490601
40, 0.9253612160682678, 0.9333127737045288, 0.951627254486084, 0.9770848751068115, 0.9434579610824585, 0.9663616418838501, 0.951144278049469, 0.9494532942771912, 0.966339111328125, 0.9467796087265015
41, 0.9235934019088745, 0.9652386903762817, 0.9295394420623779, 0.9536576271057129, 0.9384814500808716, 0.9581021070480347, 0.9527631402015686, 0.9416711330413818, 0.9388697147369385, 0.9450193643569946
42, 0.9808247089385986, 0.99217689037323, 0.9950430393218994, 0.9874910116195679, 0.9940997362136841, 0.9950906038284302, 0.9862289428710938, 0.9953870177268982, 0.9950354099273682, 0.9884562492370605
43, 0.9052389860153198, 0.9442033767700195, 0.935905396938324, 0.9207090139389038, 0.9315840005874634, 0.9286047220230103, 0.9200764894485474, 0.89727383852005, 0.9071500301361084, 0.8987501263618469
44, 0.872186541557312, 0.9094724655151367, 0.8541245460510254, 0.9269548654556274, 0.9390151500701904, 0.9031333923339844, 0.8756832480430603, 0.9211956262588501, 0.9240777492523193, 0.9085965156555176
