article_id, sim1, sim2, sim3
0, 0.5948466658592224, 0.6563622951507568, 0.6703758835792542
1, 0.5599535703659058, 0.6004095077514648, 0.6506205797195435
2, 0.5763466358184814, 0.5296347141265869, 0.673225998878479
3, 0.6041298508644104, 0.6254073977470398, 0.6307973861694336
4, 0.5841922163963318, 0.5312524437904358, 0.6489511132240295
5, 0.6132175922393799, 0.646645724773407, 0.6736020445823669
6, 0.6306650638580322, 0.5702739953994751, 0.6527464389801025
7, 0.6494000554084778, 0.6255638003349304, 0.6866534948348999
8, 0.5862694978713989, 0.6326286792755127, 0.6300383806228638
9, 0.6236511468887329, 0.5666077136993408, 0.6393076777458191
10, 0.6162186861038208, 0.6611576080322266, 0.6604225635528564
11, 0.5656285881996155, 0.5358667969703674, 0.6537841558456421
12, 0.6444202065467834, 0.422720342874527, 0.6372285485267639
13, 0.602749764919281, 0.6236156225204468, 0.6478630900382996
14, 0.5878591537475586, 0.6135186553001404, 0.6506871581077576
15, 0.5621250867843628, 0.6540606617927551, 0.6169931292533875
16, 0.6658750772476196, 0.6793018579483032, 0.6824895739555359
17, 0.5737862586975098, 0.6061515808105469, 0.5834521055221558
18, 0.6095255613327026, 0.6248637437820435, 0.6354411244392395
19, 0.5463967323303223, 0.6571824550628662, 0.6840115785598755
20, 0.594162106513977, 0.647669792175293, 0.6675752997398376
21, 0.5332943797111511, 0.48622581362724304, 0.6331814527511597
22, 0.5707951784133911, 0.6665534973144531, 0.6770588755607605
23, 0.5713735818862915, 0.6288652420043945, 0.6810800433158875
24, 0.5825963020324707, 0.6394665837287903, 0.6647466421127319
25, 0.5988809466362, 0.6295458674430847, 0.701686441898346
26, 0.6269989013671875, 0.6464453339576721, 0.69953453540802
27, 0.6316529512405396, 0.5982353091239929, 0.6336001753807068
28, 0.6450105905532837, 0.5668411254882812, 0.6612913608551025
29, 0.6993721127510071, 0.6564605832099915, 0.6778475642204285
30, 0.586176335811615, 0.4804553687572479, 0.601525068283081
31, 0.5891014337539673, 0.6160950660705566, 0.6435040235519409
32, 0.6370856165885925, 0.6293002367019653, 0.6709980368614197
33, 0.5711681842803955, 0.6206823587417603, 0.6405196785926819
34, 0.6147618293762207, 0.6465267539024353, 0.615534245967865
35, 0.6563330292701721, 0.6264497637748718, 0.6782878041267395
36, 0.6059593558311462, 0.6008003950119019, 0.6500203013420105
37, 0.4965200424194336, 0.6598934531211853, 0.6693115830421448
38, 0.6237187385559082, 0.6191406846046448, 0.6916563510894775
39, 0.5939011573791504, 0.6289704442024231, 0.6118152141571045
40, 0.3801283836364746, 0.632315993309021, 0.6849560141563416
41, 0.6297650933265686, 0.5524501204490662, 0.6130742430686951
42, 0.5289486050605774, 0.4318837821483612, 0.5901201963424683
43, 0.6601935625076294, 0.6139301657676697, 0.6513899564743042
44, 0.6450492739677429, 0.6703809499740601, 0.6516960263252258
45, 0.4718845784664154, 0.6557319164276123, 0.5992099046707153
46, 0.6715534329414368, 0.6736285090446472, 0.697064220905304
47, 0.6180042028427124, 0.579270601272583, 0.6808216571807861
48, 0.6189664006233215, 0.6420662999153137, 0.6137033700942993
49, 0.5658487677574158, 0.500033974647522, 0.6358940005302429
50, 0.5674699544906616, 0.6026134490966797, 0.644548773765564
51, 0.6231627464294434, 0.6361238956451416, 0.706234872341156
52, 0.42478126287460327, 0.5844170451164246, 0.6558465957641602
53, 0.6643197536468506, 0.625603973865509, 0.6201158165931702
54, 0.6583625674247742, 0.6654212474822998, 0.6597997546195984
55, 0.5393504500389099, 0.5697609186172485, 0.5530652403831482
56, 0.4454292058944702, 0.638891875743866, 0.6814003586769104
57, 0.6174182295799255, 0.655411422252655, 0.6652154922485352
58, 0.585558295249939, 0.6094294190406799, 0.6900777220726013
59, 0.5954452753067017, 0.6099004745483398, 0.6642594933509827
60, 0.6847851872444153, 0.6539061069488525, 0.684965968132019
61, 0.6869081258773804, 0.6833391785621643, 0.6869483590126038
62, 0.6062748432159424, 0.6565451622009277, 0.6568317413330078
63, 0.669146716594696, 0.664479672908783, 0.6597921252250671
64, 0.5879446268081665, 0.6049208641052246, 0.6467941999435425
65, 0.5895088315010071, 0.6311894655227661, 0.6533214449882507
66, 0.5494191646575928, 0.5526144504547119, 0.56803959608078
67, 0.546929657459259, 0.622783899307251, 0.6268128156661987
68, 0.5595279335975647, 0.5789039134979248, 0.6188483238220215
69, 0.5908697247505188, 0.6260125041007996, 0.6442978382110596
70, 0.6457365155220032, 0.6688457727432251, 0.6785998940467834
71, 0.6758580207824707, 0.63370680809021, 0.6138773560523987
72, 0.6370851397514343, 0.5970725417137146, 0.6573210954666138
73, 0.6063390970230103, 0.6083644032478333, 0.6832083463668823
74, 0.637931764125824, 0.6098971366882324, 0.6678043007850647
75, 0.6650565266609192, 0.6485846638679504, 0.6829066872596741
76, 0.6229715347290039, 0.6954213976860046, 0.6783246397972107
77, 0.5339364409446716, 0.5584735870361328, 0.5746822953224182
78, 0.516802966594696, 0.5654482841491699, 0.607925295829773
79, 0.6303237676620483, 0.6515586376190186, 0.7061471939086914
80, 0.6102878451347351, 0.6895757913589478, 0.7035698294639587
81, 0.5403380393981934, 0.546434760093689, 0.6312424540519714
82, 0.59125155210495, 0.637206494808197, 0.656729519367218
83, 0.6562981605529785, 0.6045178771018982, 0.6709005236625671
84, 0.5748822093009949, 0.5122342109680176, 0.567188024520874
85, 0.6562921404838562, 0.578319251537323, 0.6551859378814697
86, 0.6575032472610474, 0.6498131155967712, 0.6791785955429077
87, 0.5233105421066284, 0.574232816696167, 0.5599387288093567
88, 0.6786072850227356, 0.6658515930175781, 0.6968032717704773
89, 0.6360828876495361, 0.6884071826934814, 0.6921381950378418
